"Time","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package"
"9/24/2023 4:59","63","61","66","57","66"
"9/24/2023 4:59","60","59","59","57","60"
"9/24/2023 4:59","56","57","57","55","57"
"9/24/2023 4:59","76","60","61","58","76"
"9/24/2023 4:59","57","57","57","55","57"
"9/24/2023 4:59","57","57","57","55","57"
"9/24/2023 4:59","57","57","58","55","58"
"9/24/2023 4:59","56","56","57","55","57"
"9/24/2023 4:59","62","62","62","58","62"
"9/24/2023 4:59","57","56","57","55","57"
"9/24/2023 4:59","56","56","56","55","57"
"9/24/2023 4:59","57","56","57","55","57"
"9/24/2023 4:59","59","57","60","56","59"
"9/24/2023 4:59","57","58","57","56","58"
"9/24/2023 5:00","65","62","62","59","65"
"9/24/2023 5:00","63","64","64","61","64"
"9/24/2023 5:00","61","58","60","57","61"
"9/24/2023 5:00","64","60","61","57","64"
"9/24/2023 5:00","60","57","59","56","60"
"9/24/2023 5:00","71","72","70","68","72"
"9/24/2023 5:00","59","58","59","56","59"
"9/24/2023 5:00","64","67","75","62","75"
"9/24/2023 5:00","66","66","74","62","74"
"9/24/2023 5:00","67","70","66","63","72"
"9/24/2023 5:00","74","69","70","68","75"
"9/24/2023 5:00","68","67","68","69","69"
"9/24/2023 5:00","74","75","74","73","75"
"9/24/2023 5:00","76","76","73","77","81"
"9/24/2023 5:00","83","83","79","76","83"
"9/24/2023 5:00","80","81","80","75","82"
"9/24/2023 5:00","80","80","77","75","80"
"9/24/2023 5:00","82","81","82","81","82"
"9/24/2023 5:00","82","83","81","81","83"
"9/24/2023 5:00","82","86","82","80","86"
"9/24/2023 5:00","85","84","83","82","85"
"9/24/2023 5:00","84","82","75","72","84"
"9/24/2023 5:00","83","86","84","85","86"
"9/24/2023 5:00","84","86","84","82","86"
"9/24/2023 5:00","84","85","85","83","86"
"9/24/2023 5:00","84","88","84","83","88"
"9/24/2023 5:00","85","84","83","85","85"
"9/24/2023 5:00","83","86","84","81","86"
"9/24/2023 5:00","74","73","71","70","73"
"9/24/2023 5:00","72","76","74","69","76"
"9/24/2023 5:01","73","80","73","70","80"
"9/24/2023 5:01","85","85","84","83","85"
"9/24/2023 5:01","75","76","75","73","76"
"9/24/2023 5:01","74","73","74","70","75"
"9/24/2023 5:01","72","71","71","68","72"
"9/24/2023 5:01","74","74","73","70","74"
"9/24/2023 5:01","82","83","83","81","83"
"9/24/2023 5:01","81","79","80","78","81"
"9/24/2023 5:01","75","74","75","72","77"
"9/24/2023 5:01","75","85","75","73","84"
"9/24/2023 5:01","74","74","73","71","74"
"9/24/2023 5:01","73","73","72","70","73"
"9/24/2023 5:01","73","72","71","69","73"
"9/24/2023 5:01","77","76","79","77","79"
"9/24/2023 5:01","71","70","70","82","82"
"9/24/2023 5:01","71","71","70","67","71"
"9/24/2023 5:01","72","75","72","75","75"
"9/24/2023 5:01","72","72","84","72","82"
"9/24/2023 5:01","71","70","70","68","71"
"9/24/2023 5:01","73","71","71","68","73"
"9/24/2023 5:01","71","71","70","68","71"
"9/24/2023 5:01","73","75","74","72","75"
"9/24/2023 5:01","73","73","71","69","73"
"9/24/2023 5:01","68","68","69","66","69"
"9/24/2023 5:01","75","75","76","76","76"
"9/24/2023 5:01","81","80","82","79","82"
"9/24/2023 5:01","71","74","71","68","74"
"9/24/2023 5:01","74","72","85","70","85"
"9/24/2023 5:01","69","69","69","66","69"
"9/24/2023 5:01","71","75","81","71","81"
"9/24/2023 5:02","71","76","76","68","76"
"9/24/2023 5:02","73","76","75","71","76"
"9/24/2023 5:02","76","73","71","70","76"
"9/24/2023 5:02","79","80","78","75","80"
"9/24/2023 5:02","69","69","69","67","69"
"9/24/2023 5:02","78","71","71","68","78"
"9/24/2023 5:02","71","72","71","68","72"
"9/24/2023 5:02","68","69","69","66","69"
"9/24/2023 5:02","71","77","73","70","76"
"9/24/2023 5:02","77","73","75","68","77"
"9/24/2023 5:02","68","69","68","67","68"
"9/24/2023 5:02","75","77","73","74","77"
"9/24/2023 5:02","67","67","68","66","68"
"9/24/2023 5:02","72","71","71","69","72"
"9/24/2023 5:02","71","71","70","68","71"
"9/24/2023 5:02","69","69","69","67","69"
"9/24/2023 5:02","70","70","70","67","70"
"9/24/2023 5:02","67","67","67","65","68"
"9/24/2023 5:02","76","77","71","68","77"
"9/24/2023 5:02","71","70","76","67","76"
"9/24/2023 5:02","74","69","68","66","72"
"9/24/2023 5:02","67","67","67","65","67"
"9/24/2023 5:02","66","67","66","65","66"
"9/24/2023 5:02","66","67","67","65","68"
"9/24/2023 5:02","65","66","66","64","66"
"9/24/2023 5:02","71","70","69","67","71"
"9/24/2023 5:02","73","76","74","71","76"
"9/24/2023 5:02","71","80","70","72","80"
"9/24/2023 5:02","67","68","67","65","68"
"9/24/2023 5:02","74","76","81","71","81"
"9/24/2023 5:03","67","67","66","64","67"
"9/24/2023 5:03","66","67","66","64","67"
"9/24/2023 5:03","70","67","68","65","70"
"9/24/2023 5:03","67","67","68","65","68"
"9/24/2023 5:03","65","66","66","64","67"
"9/24/2023 5:03","65","65","65","64","66"
"9/24/2023 5:03","66","67","66","64","67"
"9/24/2023 5:03","65","65","65","63","65"
"9/24/2023 5:03","67","67","67","64","67"
"9/24/2023 5:03","67","68","66","64","68"
"9/24/2023 5:03","70","67","68","64","70"
"9/24/2023 5:03","69","68","69","66","69"
"9/24/2023 5:03","70","77","77","68","75"
"9/24/2023 5:03","65","66","66","64","66"
"9/24/2023 5:03","65","65","65","63","66"
"9/24/2023 5:03","67","67","70","64","70"
"9/24/2023 5:03","65","65","65","63","65"
"9/24/2023 5:03","65","65","66","63","66"
"9/24/2023 5:03","72","72","71","66","72"
"9/24/2023 5:03","80","78","78","74","79"
"9/24/2023 5:03","74","81","76","80","80"
"9/24/2023 5:03","81","83","85","81","85"
"9/24/2023 5:03","68","68","69","67","69"
"9/24/2023 5:03","70","74","70","67","74"
"9/24/2023 5:03","77","72","73","70","76"
"9/24/2023 5:03","65","66","67","64","67"
"9/24/2023 5:03","68","68","68","65","68"
"9/24/2023 5:03","70","68","68","65","70"
"9/24/2023 5:03","65","65","66","64","66"
"9/24/2023 5:03","67","67","68","65","68"
"9/24/2023 5:04","69","67","68","66","69"
"9/24/2023 5:04","67","66","67","64","67"
"9/24/2023 5:04","70","69","77","66","77"
"9/24/2023 5:04","70","70","70","66","71"
"9/24/2023 5:04","66","66","66","64","67"
"9/24/2023 5:04","70","68","69","67","71"
"9/24/2023 5:04","66","66","66","64","67"
"9/24/2023 5:04","66","66","66","64","67"
"9/24/2023 5:04","67","67","68","65","68"
"9/24/2023 5:04","67","67","66","65","67"
"9/24/2023 5:04","70","69","69","66","70"
"9/24/2023 5:04","72","79","70","66","79"
"9/24/2023 5:04","76","76","78","77","78"
"9/24/2023 5:04","71","69","70","67","71"
"9/24/2023 5:04","66","66","66","64","66"
"9/24/2023 5:04","65","65","65","64","66"
"9/24/2023 5:04","67","67","67","65","67"
"9/24/2023 5:04","65","65","64","63","65"
"9/24/2023 5:04","71","68","70","66","71"
"9/24/2023 5:04","76","72","71","68","76"
"9/24/2023 5:04","71","70","70","71","71"
"9/24/2023 5:04","69","67","66","66","68"
"9/24/2023 5:04","70","68","68","66","70"
"9/24/2023 5:04","65","65","66","64","66"
"9/24/2023 5:04","65","66","65","64","66"
"9/24/2023 5:04","65","65","65","64","66"
"9/24/2023 5:04","72","75","74","70","75"
"9/24/2023 5:04","70","68","69","66","70"
"9/24/2023 5:04","67","72","68","65","71"
"9/24/2023 5:04","75","78","72","78","78"
"9/24/2023 5:05","82","75","74","80","82"
"9/24/2023 5:05","67","66","66","65","66"
"9/24/2023 5:05","78","77","70","69","78"
"9/24/2023 5:05","73","82","70","79","82"
"9/24/2023 5:05","74","81","73","73","80"
"9/24/2023 5:05","85","70","70","69","85"
"9/24/2023 5:05","75","75","74","83","83"
"9/24/2023 5:05","73","72","70","68","73"
"9/24/2023 5:05","69","68","68","66","69"
"9/24/2023 5:05","67","67","67","70","70"
"9/24/2023 5:05","65","65","66","65","66"
"9/24/2023 5:05","68","68","68","65","68"
"9/24/2023 5:05","66","66","66","64","66"
"9/24/2023 5:05","65","66","65","63","66"
"9/24/2023 5:05","66","65","66","64","66"
"9/24/2023 5:05","65","65","65","64","66"
"9/24/2023 5:05","64","65","65","64","65"
"9/24/2023 5:05","64","64","64","62","65"
"9/24/2023 5:05","67","67","68","64","68"
"9/24/2023 5:05","64","64","64","63","65"
"9/24/2023 5:05","64","64","65","62","65"
"9/24/2023 5:05","63","64","64","62","64"
"9/24/2023 5:05","71","75","71","68","75"
"9/24/2023 5:05","67","66","66","65","67"
"9/24/2023 5:05","64","64","64","63","65"
"9/24/2023 5:05","71","68","68","65","71"
"9/24/2023 5:05","72","68","80","67","80"
"9/24/2023 5:05","64","64","64","62","65"
"9/24/2023 5:05","72","70","70","71","72"
"9/24/2023 5:05","64","64","64","62","65"
"9/24/2023 5:06","80","75","73","69","80"
"9/24/2023 5:06","67","67","66","64","67"
"9/24/2023 5:06","65","65","66","64","66"
"9/24/2023 5:06","70","67","68","64","70"
"9/24/2023 5:06","65","65","65","63","65"
